Time,volumeETH,volumeUSD,daily_pct_change_volumeETH,pass_volumeETH,pass_volumeUSD,daily_pct_change_pass_volumeETH,gift_volumeETH,gift_volumeUSD,daily_pct_change_gift_volumeETH,totalFeesETH,protocolFeesETH,protocolFeesUSD,Protocol Earnings - Trading Fees (Ξ),Protocol Earnings - Trading Fees ($),Protocol Earnings - Tip Fees (Ξ),Protocol Earnings - Tip Fees ($),streamerFeesETH,streamerFeesUSD,Streamer Earnings - Trading Fees (Ξ),Streamer Earnings - Trading Fees ($),Streamer Earnings - Tips (Ξ),Streamer Earnings - Tips ($),Referral Earnings (Ξ),Referral Earnings ($),buyVolumeETH,buyVolumeUSD,daily_pct_change_buyVolumeETH,sellVolumeETH,sellVolumeUSD,daily_pct_change_sellVolumeETH,buy_sell_ratio,numberOfTrades,numberOfPassesTraded,cumulative_volumeETH,cumulative_volumeUSD,cumulative_buyVolumeETH,cumulative_sellVolumeETH,Cumulative Protocol Earnings (Ξ),Cumulative Protocol Earnings ($),Cum. Protocol Earnings from Trading Fees (Ξ),Cum. Protocol Earnings from Trading Fees ($),Cum. Protocol Earnings from Tip Fees (Ξ),Cum. Protocol Earnings from Tip Fees ($),Cumulative Streamer Earnings (Ξ),Cumulative Streamer Earnings ($),Cum. Streamer Earnings from Trading Fees (Ξ),Cum. Streamer Earnings from Trading Fees ($),Cum. Streamer Earnings from Tips (Ξ),Cum. Streamer Earnings from Tips ($),Cumulative Referral Earnings (Ξ),Cumulative Referral Earnings ($),cumulative_numberOfPassesTraded
2023-12-03 00:00:00.000 UTC,5.207000000000001,11264.42952895684,1.0118326048634423,4.74525,10265.514542401084,0.9842667851449184,0.46175,998.9149865557557,1.346886912325286,0.936275,0.2791265625,603.8412700098361,0.23295156250000001,503.9497713542606,0.046175,99.89149865557557,0.6528375,1412.2992150202342,0.23726249999999993,513.275727120054,0.41557499999999997,899.0234879001802,0.0043109375000000005,9.32595576579362,2.5486875,5513.6375523493725,1.5475729368401325,2.1965625,4751.876990051711,0.5791247304097773,1.1603072983354674,553,597,295.30750000000006,564186.0671762552,153.71200000000002,128.94875000000005,14.905624218749992,28511.940513381167,13.640949218749995,26036.315919901932,1.2646750000000002,2475.624593479237,25.515112499999997,49252.112403386236,14.13303749999999,26971.49106207312,11.382075000000002,22280.621341313126,0.49208828124999987,935.1751421711823,22455
2023-12-02 00:00:00.000 UTC,2.5881875,5467.609001085068,-0.35998330834737186,2.3914375,5051.969843967012,-0.3588961680880653,0.19675,415.63915711805544,-0.37290836653386444,0.43589375000000025,0.13586171875000014,287.0111830539281,0.11618671875000013,245.44726734212256,0.019675,41.56391571180554,0.2966468750000001,626.6737336046007,0.11957187500000009,252.59849219835078,0.177075,374.07524140624986,0.0033851562500000006,7.151224856228297,1.0004375,2113.4485349392353,-0.4942815619866043,1.391,2938.5213090277766,-0.20602190432021686,0.7192217828900073,256,308,290.10050000000007,552921.6376472983,151.16331250000002,126.75218750000005,14.626497656249992,27908.099243371333,13.407997656249995,25532.36614854767,1.2185000000000001,2375.7330948236613,24.862274999999997,47839.813188366,13.89577499999999,26458.215334953067,10.966500000000002,21381.597853412946,0.48777734374999987,925.8491864053887,21858
2023-12-01 00:00:00.000 UTC,4.0439375,8444.658827905836,-0.1740218293227804,3.7301875,7789.477656768681,-0.15236255698683446,0.31375,655.1811711371543,-0.3664815749621404,0.6867687499999999,0.21683828125,452.80751890595263,0.18546328125,387.28940179223724,0.031375,65.51811711371543,0.46888437499999996,979.1369368618729,0.18650937499999998,389.473882838434,0.282375,589.6630540234388,0.00104609375,2.1844810461968365,1.97825,4131.034746779524,-0.09761660394571785,1.7519375,3658.4429099891577,-0.20670723079100048,1.1291784096179232,365,407,287.51231250000006,547454.0286462132,150.162875,125.36118750000004,14.490635937499992,27621.088060317405,13.291810937499994,25286.918881205547,1.198825,2334.1691791118556,24.565628124999996,47213.1394547614,13.77620312499999,26205.616842754716,10.789425000000001,21007.5226120067,0.48439218749999985,918.6979615491604,21550
2023-11-30 00:00:00.000 UTC,4.8959375000000005,9975.826972005647,-0.045986530428322424,4.4006875,8966.719256091013,-0.02519693760296816,0.49525,1009.1077159146326,-0.1979757085020243,0.9353187499999998,0.25865624999999987,527.0308281565756,0.20913124999999985,426.1200565651123,0.049525,100.91077159146326,0.6657593749999999,1356.53290712772,0.2200343749999999,448.3359628045505,0.44572500000000004,908.1969443231694,0.010903125000000001,22.215906239438123,2.19225,4466.868026681178,-0.04858003092196265,2.2084375,4499.851229409836,-0.0008200429815630688,0.9926701570680628,456,505,283.46837500000004,539009.3698183073,148.184625,123.60925000000005,14.273797656249991,27168.280541411452,13.106347656249994,24899.62947941331,1.16745,2268.65106199814,24.096743749999998,46234.00251789953,13.58969374999999,25816.142959916284,10.507050000000001,20417.859557983258,0.48334609374999987,916.5134805029635,21143
2023-11-29 00:00:00.000 UTC,5.131937499999999,10503.436191626299,0.03459963459963454,4.5144375,9239.611008967851,0.09758543664240449,0.6175,1263.8251826584485,-0.2711714370020654,1.0689437499999999,0.2826484374999999,578.4910334438257,0.2208984374999999,452.1085151779809,0.06175,126.38251826584482,0.7814718749999999,1599.423214840996,0.22572187499999982,461.98055044839225,0.5557500000000001,1137.4426643926035,0.0048234375000000005,9.872035270411514,2.3041875,4715.935527233705,0.275674740484429,2.21025,4523.675481734146,-0.041859709014061657,1.0425008483203257,517,549,278.57243750000004,529033.5428463017,145.992375,121.40081250000004,14.015141406249992,26641.249713254878,12.897216406249994,24473.509422848198,1.117925,2167.7402904066766,23.430984374999998,44877.469610771805,13.36965937499999,25367.806997111733,10.061325000000002,19509.66261366009,0.47244296874999986,894.2975742635253,20638
2023-11-28 00:00:00.000 UTC,4.9603125,10091.061683166343,-0.0010321346306341793,4.1130625,8367.450114124536,-0.08890919411333081,0.84725,1723.611569041806,0.8786031042128601,1.2585562499999998,0.28789453124999986,585.6811386560844,0.20316953124999987,413.31998175190387,0.084725,172.3611569041806,0.9681781249999998,1969.6229178438518,0.2056531249999999,418.37250570622666,0.7625249999999999,1551.2504121376253,0.0024835937500000006,5.052523954322719,1.80625,3674.5628758710677,-0.29229111568224114,2.3068125,4692.887238253468,0.1756330625895843,0.7830068546966864,430,497,273.44050000000004,518530.1066546754,143.6881875,119.19056250000004,13.732492968749991,26062.758679811053,12.676317968749993,24021.400907670217,1.056175,2041.3577721408317,22.649512499999997,43278.04639593081,13.143937499999991,24905.82644666334,9.505575000000002,18372.219949267484,0.46761953124999983,884.4255389931138,20089
2023-11-27 00:00:00.000 UTC,4.965437499999999,10097.211466686238,-0.07735634319691567,4.5144375,9180.10348345707,-0.11723944075087998,0.451,917.1079832291705,0.6844070961718022,0.90244375,0.26835234374999994,545.6941835285666,0.22325234374999997,453.9833852056496,0.0451,91.71079832291704,0.631621875,1284.4023590791069,0.22572187499999993,459.00517417285334,0.40590000000000004,825.3971849062535,0.0024695312499999995,5.021788967203796,2.55225,5189.997450546896,-0.11280090379768837,1.9621875,3990.106032910173,-0.12294669795507877,1.300716674629718,407,526,268.48018750000006,508439.044971509,141.8819375,116.88375000000003,13.444598437499991,25477.07754115497,12.473148437499994,23608.08092591831,0.97145,1868.996615236651,21.681334374999995,41308.42347808696,12.938284374999991,24487.453940957115,8.743050000000002,16820.96953712986,0.4651359374999998,879.3730150387911,19592
2023-11-26 00:00:00.000 UTC,5.38175,11172.292124010419,0.6871681329231735,5.114,10616.454112916668,0.7394188048723455,0.26775,555.8380110937501,0.07207207207207203,0.7791499999999997,0.2710687499999999,562.7275998867186,0.2442937499999999,507.1437987773436,0.026775,55.58380110937501,0.49667499999999987,1031.0769156302083,0.25569999999999987,530.8227056458331,0.240975,500.25420998437505,0.011406249999999998,23.678906868489584,2.87675,5972.014933385417,0.6323722381813668,2.23725,4644.43917953125,0.899596688601146,1.285841993518829,450,476,263.51475000000005,498341.8335048228,139.3296875,114.92156250000004,13.176246093749992,24931.383357626404,12.249896093749994,23154.09754071266,0.92635,1777.285816913734,21.049712499999995,40024.021119007855,12.712562499999992,24028.448766784262,8.337150000000001,15995.572352223604,0.46266640624999983,874.3512260715873,19066
2023-11-25 00:00:00.000 UTC,3.1898125,6646.14911424605,-0.2237128298729942,2.9400625,6125.781305391156,-0.24143324786738268,0.24975,520.3678088548938,0.07073954983922824,0.5437562500000002,0.16827578125000012,350.61181009973166,0.14330078125000012,298.5750292142423,0.024975,52.036780885489385,0.37177812500000007,774.6200932389625,0.1470031250000001,306.289065269558,0.224775,468.33102796940443,0.00370234375,7.714036055315759,1.7623125,3671.8746512215816,-0.3009297136481964,1.17775,2453.9066541695747,-0.1307316173078697,1.4963383570367224,323,365,258.13300000000004,487169.54138081236,136.45293750000002,112.68431250000003,12.905177343749992,24368.655757739685,12.005602343749993,22646.95374193532,0.899575,1721.702015804359,20.553037499999995,38992.94420337765,12.456862499999993,23497.626061138428,8.096175,15495.318142239228,0.4512601562499998,850.6723192030978,18590
2023-11-24 00:00:00.000 UTC,4.1090625,8582.615822167932,-0.26735089596148703,3.8758125,8095.425583391892,-0.30178121059268603,0.23325,487.1902387760396,3.056521739130435,0.6208312499999997,0.20884140624999986,436.2079081554612,0.18551640624999988,387.48888427785727,0.023325,48.71902387760396,0.4037156249999999,843.24249406803,0.19379062499999988,404.7712791695944,0.20992500000000003,438.47121489843573,0.00827421875,17.282394891737123,2.5209375,5265.492572623676,0.0058352659534675385,1.354875,2829.933010768217,-0.5550035923226933,1.8606421256573484,535,607,254.94318750000005,480523.3922665663,134.690625,111.50656250000003,12.736901562499993,24018.043947639955,11.862301562499994,22348.378712721074,0.8746,1669.6652349188696,20.181259374999996,38218.32411013869,12.309859374999993,23191.33699586887,7.871400000000001,15026.987114269823,0.4475578124999998,842.958283147782,18225
2023-11-23 00:00:00.000 UTC,5.6085,11578.589147760413,0.2206820562349516,5.551,11459.882028923608,0.22253575410535592,0.0575,118.70711883680552,0.06481481481481487,0.6125999999999995,0.2721210937499997,561.7862785005689,0.26637109374999973,549.9155666168883,0.00575,11.870711883680551,0.32929999999999987,679.830508399305,0.27754999999999985,572.99410144618,0.051750000000000004,106.83640695312498,0.011178906249999999,23.07853482929144,2.5063125,5174.211057037758,0.26565458906703693,3.0446875,6285.670971885849,0.18918589039423897,0.8231756132608026,516,573,250.83412500000006,471940.77644439833,132.1696875,110.15168750000002,12.528060156249992,23581.836039484493,11.676785156249993,21960.889828443218,0.851275,1620.9462110412655,19.777543749999996,37375.08161607066,12.116068749999993,22786.565716699275,7.661475000000001,14588.515899371387,0.4392835937499998,825.6758882560449,17618
2023-11-22 00:00:00.000 UTC,4.5945625,9276.412275028237,-0.026524180306160283,4.5405625,9167.386385653237,-0.022746838848533797,0.054,109.02588937500029,-0.26530612244897955,0.5080562499999997,0.22163984374999987,447.4903904774044,0.21623984374999988,436.5878015399044,0.0054,10.90258893750003,0.27562812499999984,556.4926197201618,0.22702812499999986,458.36931928266154,0.0486,98.12330043750026,0.01078828125,21.78151774275722,1.98025,3998.120693237858,0.0831766435335544,2.5603125,5169.265692415379,-0.09146354986803866,0.7734407420969119,476,510,245.22562500000006,460362.1872966379,129.663375,107.10700000000003,12.255939062499992,23020.049760983926,11.410414062499994,21410.97426182633,0.845525,1609.075499157585,19.448243749999996,36695.251107671356,11.838518749999993,22213.571615253095,7.609725000000001,14481.679492418261,0.4281046874999998,802.5973534267534,17045
2023-11-21 00:00:00.000 UTC,4.71975,9454.59333292679,0.4581756391442035,4.64625,9307.358286585328,0.49505269085351156,0.0735,147.23504634146278,-0.4302325581395349,0.5381249999999999,0.23030078125000003,461.3380435349502,0.22295078125000004,446.61453890080395,0.00735,14.723504634146279,0.29846249999999985,597.8794560365826,0.23231249999999987,465.36791432926606,0.06615,132.51154170731652,0.00936171875,18.753375428462462,1.8281875,3662.221378005211,-0.04955159864829733,2.8180625,5645.136908580115,1.3796179016255012,0.6487391603273526,399,415,240.63106250000007,451085.7750216097,127.68312499999999,104.54668750000003,12.034299218749993,22572.559370506522,11.194174218749994,20974.386460286427,0.840125,1598.172910220085,19.172615624999995,36138.75848795119,11.611490624999993,21755.202295970434,7.5611250000000005,14383.55619198076,0.4173164062499998,780.8158356839962,16535
2023-11-20 00:00:00.000 UTC,3.23675,6546.3526116579615,0.10002336498226377,3.10775,6285.449085928795,0.06532404927691483,0.129,260.9035257291657,4.108910891089109,0.43977499999999975,0.16371796874999991,331.1208935821112,0.15081796874999992,305.0305410091947,0.0129,26.09035257291657,0.2714874999999999,549.0856274526886,0.1553874999999999,314.2724542964396,0.11610000000000001,234.81317315624915,0.004569531250000001,9.241913287244975,1.9235,3890.2940444965134,0.8211728504645244,1.18425,2395.155041432283,-0.3636485760343901,1.6242347477306311,352,381,235.91131250000007,441631.1816886829,125.85493749999999,101.72862500000004,11.803998437499994,22111.221326971572,10.971223437499994,20527.77192138562,0.832775,1583.4494055859386,18.874153124999996,35540.87903191461,11.379178124999994,21289.83438164117,7.494975,14251.044650273445,0.4079546874999998,762.0624602555337,16120
2023-11-19 00:00:00.000 UTC,2.9424375,5788.130617871082,-0.04931241291573272,2.9171875,5738.4608124457345,-0.04160078848483611,0.02525,49.66980542534712,-0.5073170731707316,0.3169687500000002,0.1473914062500001,289.9367314774573,0.1448664062500001,284.96975093492256,0.002525,4.966980542534712,0.1685843750000001,331.6258655050993,0.1458593750000001,286.9230406222869,0.022725000000000002,44.70282488281241,0.0009929687500000001,1.9532896873643626,1.0561875,2077.648618522131,-0.12707267937393463,1.861,3660.8121939236034,0.014791084452320942,0.5675376141859216,265,315,232.67456250000006,435084.8290770249,123.93143749999999,100.54437500000003,11.640280468749994,21780.10043338946,10.820405468749994,20222.74138037643,0.819875,1557.359053013022,18.602665624999997,34991.79340446192,11.223790624999994,20975.56192734473,7.378875,14016.231477117195,0.4033851562499998,752.8205469682887,15739
